,ID,Name,HOF,HOF_n,HOF_mgr,FY,LY,SP,n_33,POS,ASG,G,AB,R,H,DB,TP,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,DBTP,BBSB,AVG,SLG,OBP,AW_P,AW_C,AWD,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,WAR
2,aaronha01,"Aaron, Hank",Y,1,N,1954,1976,23,23,0,Y,3298,12364,217.4,377.1,624,98,755,229.7,240,73,1402,1383,293,32,21,121,328,72.2,164.2,305,555,374,4,1,1,-1073.036081,-0.569464513,-365.4072751,-104.8715503,-97.21211938,23.23852936,6.294404591
43,adairje01,"Adair, Jerry",N,0,N,1958,1970,13,13,1,N,1165,4019,37.8,102.2,163,19,57,36.6,29,29,208,499,31,17,41,30,149,18.2,23.7,254,347,292,0,0,0,-272.3528648,39.2488202,-448.6469169,-61.58526003,-65.8525843,9.616858463,1.375179606
68,adcocjo01,"Adcock, Joe",N,0,N,1950,1966,17,17,0,N,1959,6606,82.3,183.2,295,35,336,112.2,20,25,594,1059,55,17,52,35,223,33,61.4,277,485,337,0,0,0,-601.4766462,-16.91543865,-461.2319079,-69.77849374,-69.43159833,9.226812843,2.198932092
84,ageeto01,"Agee, Tommie",N,1,N,1962,1973,12,12,0,Y,1129,3912,55.8,99.9,170,27,130,43.3,167,81,342,918,26,34,21,15,99,19.7,50.9,255,412,320,3,0,1,-357.4198583,-5.696222016,-479.4139016,-69.70243961,-56.61567246,15.5256074,3.755296022
87,aguaylu01,"Aguayo, Luis",N,0,N,1980,1989,10,10,1,N,568,1104,14.2,26,43,10,37,10.9,7,5,94,220,12,20,14,12,27,5.3,10.1,236,393,304,0,0,0,-235.7082402,-38.19503717,-491.1111918,-63.7724537,-48.46474105,10.08042327,0.296623794
116,aldremi01,"Aldrete, Mike",N,0,N,1986,1996,10,10,0,N,930,2147,27.7,56.5,104,9,41,27.1,19,18,314,381,29,5,14,18,43,11.3,33.3,263,377,356,0,0,0,-257.8714032,4.52387324,-511.439304,-107.5268541,-63.06832916,3.705910629,1.213090472
127,alexama02,"Alexander, Manny",N,0,N,1992,2006,11,11,1,N,594,1271,16.6,29.3,50,12,15,11.5,37,10,86,276,7,7,19,4,17,6.2,12.3,231,324,282,0,0,0,-192.4369151,-8.358907073,-439.073906,-71.79846715,-63.19002515,6.403772279,-0.304397981
130,alfoned01,"Alfonzo, Edgardo",N,0,N,1995,2006,12,12,0,N,1506,5385,77.7,153.2,282,18,146,74.4,53,17,596,617,22,41,31,55,110,30,64.9,284,425,357,1,0,1,-410.6124228,43.34391492,-507.2182898,-85.07613897,-63.64906787,3.285804897,3.116126392
132,alicelu01,"Alicea, Luis",N,0,N,1988,2002,13,13,1,N,1341,3971,55.1,103.1,189,53,47,42.2,81,50,500,624,25,48,49,45,74,24.2,58.1,260,369,346,0,0,0,-280.7881647,44.3860626,-495.2648724,-94.97629825,-54.50987682,2.283903296,0.912529807
135,allenbe01,"Allen, Bernie",N,1,N,1962,1973,12,12,1,N,1139,3404,35.7,81.5,140,21,73,35.1,13,16,370,424,52,8,24,17,60,16.1,38.3,239,357,314,0,0,0,-281.3548909,12.26553699,-455.0573857,-83.85056047,-53.77133171,7.664532964,0.976039759
141,allendi01,"Allen, Dick",N,14,N,1963,1977,15,15,0,Y,1749,6332,109.9,184.8,320,79,351,111.9,133,52,894,1556,138,16,19,53,164,39.9,102.7,292,534,378,2,0,1,-637.2251474,-29.55409474,-514.7073162,-83.8485308,-64.26864452,12.79300315,4.914000547
155,alleyge01,"Alley, Gene",N,1,N,1963,1973,11,11,1,Y,1195,3927,44.2,99.9,140,44,55,34.2,63,30,300,622,62,27,56,22,95,18.4,36.3,254,354,310,2,0,1,-273.8067986,37.34856957,-463.0619475,-73.88823805,-61.16438285,10.70750769,2.740743306
158,allisbo01,"Allison, Bob",N,0,N,1958,1970,13,13,0,Y,1541,5032,81.1,128.1,216,53,256,79.6,84,50,795,1033,30,34,25,35,115,26.9,87.9,255,471,358,1,0,1,-503.3579165,-36.71065106,-487.3876065,-92.28529169,-49.22054815,10.43981058,3.472690424
165,almonbi01,"Almon, Bill",N,0,N,1974,1988,15,15,1,N,1236,3330,39,84.6,138,25,36,29.6,128,60,250,636,24,6,44,29,53,16.3,37.8,254,343,305,0,0,0,-246.9960946,33.77072643,-461.0292263,-74.03836109,-65.42857876,7.826998631,0.377234217
