,HOF,SP,ASG,G,AB,AVG,OBP,SLG,R_Norm,DB_Norm,TP_Norm,HR_Norm,RBI_Norm,SB_Norm,CS_Norm,BB_Norm,SO_Norm,IBB_Norm,HBP_Norm,SH_Norm,SF_Norm,GIDP_Norm,DBTP_Norm,BBSB_Norm
1,1,23,0.91,3298,12364,305,374,555,0.1758330637,0.0504691038,0.0079262375,0.0610643805,0.1857813005,0.0194111938,0.0059042381,0.1133937237,0.1118570042,0.0236978324,0.0025881592,0.0016984795,0.0097864769,0.0265286315,0.0583953413,0.1328049175
2,0,13,0,1165,4019,254,292,347,0.0940532471,0.0405573526,0.0047275442,0.0141826325,0.0910674297,0.0072157253,0.0072157253,0.0517541677,0.1241602389,0.0077133615,0.0042299079,0.0102015427,0.0074645434,0.037073899,0.0452848967,0.058969893
3,0,17,0.06,1959,6606,277,337,485,0.1245837118,0.044656373,0.0052982137,0.050862852,0.1698455949,0.0030275507,0.0037844384,0.0899182561,0.1603088102,0.0083257645,0.0025734181,0.0078716318,0.0052982137,0.0337571904,0.0499545867,0.0929458068
4,0,12,0.17,1129,3912,255,320,412,0.1426380368,0.0434560327,0.0069018405,0.0332310838,0.1106850716,0.0426891616,0.0207055215,0.0874233129,0.2346625767,0.0066462168,0.0086912065,0.0053680982,0.0038343558,0.0253067485,0.0503578732,0.1301124744
5,0,10,0,568,1104,236,304,393,0.1286231884,0.0389492754,0.009057971,0.0335144928,0.0987318841,0.0063405797,0.0045289855,0.0851449275,0.1992753623,0.0108695652,0.018115942,0.0126811594,0.0108695652,0.0244565217,0.0480072464,0.0914855072
6,0,10,0,930,2147,263,356,377,0.1290172333,0.0484396833,0.0041918957,0.0190964136,0.1262226362,0.0088495575,0.0083837913,0.1462505822,0.1774569166,0.0135072194,0.0023288309,0.0065207266,0.0083837913,0.020027946,0.0526315789,0.1551001397
7,0,11,0,594,1271,231,282,324,0.1306058222,0.0393391031,0.0094413847,0.0118017309,0.0904799371,0.0291109363,0.0078678206,0.0676632573,0.2171518489,0.0055074744,0.0055074744,0.0149488592,0.0031471282,0.013375295,0.0487804878,0.0967741935
8,0,12,0.08,1506,5385,284,357,425,0.1442896936,0.052367688,0.0033426184,0.0271123491,0.1381615599,0.0098421541,0.0031569174,0.1106778087,0.1145775302,0.0040854225,0.0076137419,0.0057567317,0.0102135562,0.0204271123,0.0557103064,0.1205199629
9,0,13,0,1341,3971,260,346,369,0.1387559809,0.0475950642,0.013346764,0.0118358096,0.1062704608,0.0203978847,0.0125912868,0.1259128683,0.1571392596,0.0062956434,0.0120876354,0.0123394611,0.0113321581,0.0186351045,0.0609418283,0.146310753
10,0,12,0,1139,3404,239,314,357,0.1048766157,0.0411280846,0.0061692127,0.0214453584,0.1031139835,0.0038190364,0.0047003525,0.1086956522,0.124559342,0.0152761457,0.0023501763,0.0070505288,0.0049941246,0.017626322,0.0472972973,0.1125146886
11,0,15,0.47,1749,6332,292,378,534,0.1735628553,0.0505369551,0.0124763108,0.0554327227,0.176721415,0.021004422,0.0082122552,0.1411876184,0.2457359444,0.0217940619,0.0025268478,0.0030006317,0.0083701832,0.0259001895,0.063013266,0.1621920404
12,0,11,0.18,1195,3927,254,310,354,0.1125541126,0.0356506239,0.0112044818,0.0140056022,0.0870893812,0.0160427807,0.0076394194,0.076394194,0.158390629,0.0157881334,0.0068754775,0.0142602496,0.0056022409,0.0241914948,0.0468551057,0.0924369748
13,0,13,0.23,1541,5032,255,358,471,0.1611685215,0.0429252782,0.0105325914,0.0508744038,0.1581875994,0.0166931638,0.009936407,0.1579888712,0.2052861685,0.0059618442,0.0067567568,0.0049682035,0.0069554849,0.0228537361,0.0534578696,0.174682035
14,0,15,0,1236,3330,254,305,343,0.1171171171,0.0414414414,0.0075075075,0.0108108108,0.0888888889,0.0384384384,0.018018018,0.0750750751,0.190990991,0.0072072072,0.0018018018,0.0132132132,0.0087087087,0.0159159159,0.0489489489,0.1135135135
15,1,17,0.71,2379,9073,300,371,443,0.1662074286,0.0555494324,0.0088173702,0.0231455968,0.1249862229,0.0522429185,0.0125647526,0.1137440758,0.1256475256,0.0068334619,0.0055108564,0.0163121349,0.0106910614,0.0227047283,0.0643668026,0.1659869944
16,0,15,0.07,1481,4760,245,290,288,0.1172268908,0.0264705882,0.0039915966,0.0027310924,0.0592436975,0.0476890756,0.0168067227,0.0634453782,0.1012605042,0.0035714286,0.0006302521,0.0161764706,0.0037815126,0.0121848739,0.0304621849,0.1111344538
17,0,20,0.3,1377,4530,273,309,406,0.114790287,0.0549668874,0.0022075055,0.0247240618,0.1298013245,0.0055187638,0.0052980132,0.046799117,0.1101545254,0.0033112583,0.0090507726,0.0105960265,0.0075055188,0.0291390728,0.0571743929,0.0523178808
18,0,17,0.18,2082,7339,286,328,433,0.1342144706,0.0489167462,0.0066766589,0.0280692192,0.1160921106,0.014579643,0.0091293092,0.0576372803,0.0961983922,0.0091293092,0.0077667257,0.0044965254,0.0076304674,0.0183948767,0.0555934051,0.0722169233
