,HOF,WAR,BBSB_Norm,IBB_Norm,AB,SF_Norm,HR_Norm,SO_Norm,SH_Norm,HBP_Norm,SP,ASG,G,AVG,OBP,SLG,R_Norm,DB_Norm,TP_Norm,RBI_Norm,SB_Norm,CS_Norm,GIDP_Norm,BB_Norm,DBTP_Norm,PC_1
946,0,-0.908566722,0.0590339893,0.0053667263,559,0.0089445438,0.0107334526,0.1949910555,0.0214669052,0.0035778175,10,0,277,161,203,222,0.0661896243,0.0250447227,0.0017889088,0.0787119857,0.0071556351,0.0089445438,0.0161001789,0.0518783542,0.0268336315,-124.5361038
833,0,-0.098913043,0.0753968254,0.003968254,252,0.003968254,0.003968254,0.1388888889,0.0198412698,0.003968254,10,0,140,190,244,234,0.0793650794,0.0238095238,0.003968254,0.0833333333,0.0079365079,0.003968254,0.0436507937,0.0674603175,0.0277777778,-129.7102791
480,0,-0.307487521,0.0767807586,0.0064754857,1081,0.0046253469,0,0.1230342276,0.0323774283,0.0064754857,11,0,622,213,266,253,0.0999074931,0.0296022202,0.0055504163,0.0601295097,0.0083256244,0.0092506938,0.0342275671,0.0684551341,0.0351526364,-148.4130696
277,0,0.027911275,0.1232731137,0.0010626993,941,0.0053134963,0.0031880978,0.1509032944,0.041445271,0.0053134963,10,0,517,220,291,273,0.1158342189,0.0308182784,0.0063761955,0.0722635494,0.0255047821,0.0138150903,0.0116896918,0.0977683316,0.037194474,-160.5058539
909,0,0.065901639,0.0762041697,0.0208483106,1391,0.0071890726,0.0057512581,0.1358734723,0.0122214234,0.002875629,10,0,574,214,268,265,0.0560747664,0.030194105,0.0021567218,0.0726096334,0.0021567218,0.0043134436,0.0258806614,0.0740474479,0.0323508267,-162.8947619
731,0,-0.282820258,0.1109865471,0.0112107623,892,0.0112107623,0.0156950673,0.2141255605,0.0067264574,0.0044843049,10,0,367,188,267,279,0.0807174888,0.0414798206,0.0011210762,0.0919282511,0.0044843049,0.0033632287,0.0246636771,0.1065022422,0.0426008969,-164.7385906
65,0,-0.027139461,0.0777922642,0.011299435,2301,0.0026075619,0.0008691873,0.1668839635,0.025206432,0.0099956541,17,0,1154,221,270,259,0.0943068231,0.023902651,0.0060843112,0.061712299,0.0186875272,0.0073880921,0.0230334637,0.0591047371,0.0299869622,-166.248199
261,0,0.611546392,0.1919191919,0.0050505051,792,0.0101010101,0.0101010101,0.1603535354,0.0265151515,0.0050505051,10,0,560,207,330,277,0.1641414141,0.0340909091,0.0025252525,0.0921717172,0.0088383838,0.0088383838,0.029040404,0.1830808081,0.0366161616,-167.8359978
370,0,0.001422764,0.0511425462,0.0010881393,919,0.0054406964,0.0130576714,0.1904243743,0.0141458107,0.0032644178,12,0,480,215,252,289,0.0739934712,0.0326441785,0.0010881393,0.0794341676,0.0032644178,0.0021762786,0.0261153428,0.0478781284,0.0337323177,-168.061092
967,0,0.155984118,0.1089987326,0.0069708492,1578,0.0057034221,0.0044359949,0.1894803549,0.0285171103,0.0088719899,10,0,800,219,278,275,0.1235741445,0.0285171103,0.0069708492,0.0728770596,0.0348542459,0.0139416984,0.0152091255,0.0741444867,0.0354879594,-169.5042304
392,0,0.079383117,0.0437062937,0.0026223776,1144,0.0043706294,0.0008741259,0.0673076923,0.0262237762,0.0052447552,11,0,499,247,280,293,0.0909090909,0.0375874126,0.0026223776,0.0751748252,0.0026223776,0.0061188811,0.0236013986,0.0410839161,0.0402097902,-170.3368704
861,0,0.145435467,0.1254545455,0.0024242424,1650,0.0036363636,0.0060606061,0.1472727273,0.0284848485,0.0042424242,14,0,816,216,301,263,0.1193939394,0.023030303,0.003030303,0.0727272727,0.0066666667,0.0036363636,0.016969697,0.1187878788,0.0260606061,-170.6560847
48,0,0.65481353,0.0857959962,0.0171591992,1049,0.0057197331,0.0085795996,0.1601525262,0.0057197331,0.0047664442,10,0,393,226,287,287,0.0514775977,0.0295519542,0.0028598665,0.0629170639,0.0028598665,0.0057197331,0.0314585319,0.0829361296,0.0324118208,-171.3521293
374,0,0.29161442,0.1191111111,0.0044444444,1125,0.0044444444,0.0035555556,0.1555555556,0.0142222222,0.0115555556,10,0,547,233,311,292,0.1457777778,0.0275555556,0.0106666667,0.064,0.0151111111,0.0097777778,0.0124444444,0.104,0.0382222222,-173.6763084
33,0,0.062986599,0.1158493248,0.0071073205,1407,0.0035536603,0.0063965885,0.1407249467,0.0156361052,0.0042643923,11,0,624,220,286,286,0.118692253,0.039800995,0.0035536603,0.0611229566,0.0255863539,0.0149253731,0.0255863539,0.0902629709,0.0433546553,-173.7645271
871,0,-0.137639405,0.0637007078,0.0151668352,989,0.0040444894,0.0121334681,0.1193124368,0.0080889788,0.0121334681,10,0,451,216,271,296,0.0839231547,0.0374115268,0.003033367,0.0940343782,0,0.0010111223,0.0384226491,0.0637007078,0.0404448938,-173.9905023
267,0,0.453152279,0.0888650964,0.0128479657,934,0.0074946467,0.0074946467,0.0995717345,0.0149892934,0.0021413276,11,0,383,241,296,296,0.0802997859,0.0278372591,0.0021413276,0.0888650964,0.0096359743,0.0021413276,0.017130621,0.0792291221,0.0299785867,-175.1754609
540,0,-0.695905259,0.0524054983,0.0055841924,2328,0.0047250859,0.0012886598,0.0498281787,0.0171821306,0.0055841924,10,0,817,236,270,277,0.0850515464,0.029209622,0.0038659794,0.0588487973,0.0098797251,0.0107388316,0.0262027491,0.0425257732,0.0330756014,-176.0903518
193,0,0.112252384,0.1443123939,0.0025466893,1178,0.0025466893,0.0076400679,0.2521222411,0.0152801358,0.0025466893,10,0,603,221,315,289,0.1341256367,0.0263157895,0.0093378608,0.0704584041,0.0076400679,0.0084889643,0.0203735144,0.136672326,0.0356536503,-176.2917848
160,0,0.312361466,0.1033138402,0.0009746589,1026,0.0107212476,0.0116959064,0.2134502924,0.0253411306,0.0068226121,12,0,418,220,293,297,0.0955165692,0.0380116959,0.0019493177,0.0984405458,0.0029239766,0.0058479532,0.0204678363,0.1003898635,0.0399610136,-177.938977
